"CO_ANO";"CO_MES";"CO_NCM";"CO_UNID";"CO_PAIS";"SG_UF_NCM";"CO_VIA";"CO_URF";"QT_ESTAT";"KG_LIQUIDO";"VL_FOB"
"2024";"08";"84099912";"11";"063";"SP";"07";"1017500";82;3406;24714
"2024";"03";"07142000";"10";"580";"BA";"01";"0517800";15;15;21
"2024";"01";"19023000";"10";"163";"ES";"01";"0727600";12;12;70
"2024";"02";"84099190";"10";"317";"SP";"04";"0817700";1;1;434
"2024";"06";"33074100";"10";"023";"RJ";"04";"0817700";1;1;24
"2024";"05";"30049079";"10";"611";"SP";"04";"0817600";10;10;3542
"2024";"03";"09011110";"21";"087";"SP";"01";"0817800";921;920533;3353719
"2024";"04";"40093100";"10";"158";"SP";"04";"0817700";299;299;28214
"2024";"04";"33021000";"10";"741";"RJ";"01";"0717600";0;0;5
"2024";"02";"74198090";"10";"063";"RS";"07";"1017500";5;5;605
"2024";"07";"82055900";"10";"845";"SP";"07";"1017701";107;107;1230
"2024";"10";"84749000";"10";"493";"RS";"01";"1017700";2317;2317;25869
"2024";"09";"73182300";"10";"756";"SP";"04";"0817600";78;78;604
"2024";"03";"84213100";"11";"063";"RS";"07";"1017500";100;18;646
"2024";"07";"84818092";"11";"249";"SP";"04";"0817700";86;68;50335
"2024";"03";"72023000";"10";"063";"MS";"07";"0917500";216000;216000;219582
"2024";"06";"61099000";"11";"317";"SC";"04";"0817600";27;6;96
"2024";"08";"85011019";"11";"249";"SP";"01";"0817800";8068;1702;49164
"2024";"07";"76041010";"10";"337";"RR";"07";"0260152";1;1;16
"2024";"07";"85122011";"11";"239";"SP";"04";"0817700";80;518;32539
"2024";"07";"09011110";"21";"190";"GO";"01";"0817800";25;24603;129743
"2024";"08";"29072900";"10";"097";"SP";"04";"0817600";0;0;56
"2024";"09";"21031010";"10";"163";"RJ";"01";"0717600";4;4;17
"2024";"04";"75051210";"10";"160";"SP";"01";"0817800";675;675;28831
"2024";"04";"64039990";"13";"845";"PR";"07";"1010351";530;431;5032
"2024";"01";"27129000";"10";"063";"RJ";"01";"0817800";4000;4000;9220
"2024";"07";"07096000";"10";"301";"PR";"01";"0917800";12;12;25
"2024";"07";"44111310";"16";"815";"PR";"01";"0917800";66;56744;20737
"2024";"03";"84833029";"11";"586";"ES";"15";"0917500";53;7;695
"2024";"10";"21039029";"10";"097";"SC";"07";"0147600";260;260;1245
"2024";"09";"61059000";"11";"249";"PR";"04";"0817700";34;10;785
"2024";"01";"61099000";"11";"244";"RJ";"04";"0817700";1;1;148
"2024";"06";"20098990";"10";"741";"SP";"01";"0717600";129;129;149
"2024";"01";"84601900";"11";"607";"SC";"04";"0817700";200;1;2168
"2024";"08";"20081100";"10";"580";"ES";"01";"0710251";0;0;5
"2024";"08";"09103000";"10";"434";"RJ";"01";"0717800";1;1;10
"2024";"06";"94019100";"10";"097";"MG";"07";"0147600";20;20;27
"2024";"01";"11041200";"10";"359";"MA";"01";"0317903";9;9;50
"2024";"01";"02062990";"10";"351";"AC";"01";"0817800";12062;12062;50375
"2024";"07";"34013000";"10";"063";"SP";"07";"1017500";37945;37945;101678
"2024";"05";"84369100";"10";"586";"PR";"07";"0917500";56;56;1171
"2024";"02";"19030000";"10";"573";"MS";"01";"0817800";720;720;2000
"2024";"07";"07132090";"10";"386";"SP";"01";"0817800";5;5;19
"2024";"03";"73024000";"10";"158";"PR";"07";"1017500";23400;23400;55770
"2024";"09";"61042300";"11";"607";"MG";"04";"0817600";45;7;470
"2024";"03";"84388090";"11";"158";"SC";"04";"0817700";40;193;3471
"2024";"06";"39204900";"10";"275";"SP";"04";"0817700";53;53;366
"2024";"05";"73181500";"10";"589";"RS";"01";"1017700";2;2;145
"2024";"02";"84839000";"10";"845";"RS";"04";"0817700";72;72;1265
"2024";"04";"08043000";"10";"476";"SP";"01";"0812051";15;15;34
"2024";"09";"64041900";"13";"244";"RS";"01";"1017700";198;147;6098
"2024";"08";"08071100";"10";"351";"SP";"01";"0812051";120;120;96
"2024";"09";"73151290";"10";"145";"SP";"04";"0817600";32;32;718
"2024";"10";"84122190";"11";"249";"ND";"04";"0717700";2;0;652
"2024";"01";"29339919";"10";"317";"SP";"01";"0817800";23200;23200;201108
"2024";"02";"39173900";"10";"493";"RJ";"01";"0717600";49;49;407
"2024";"04";"96039000";"11";"351";"SP";"01";"0817800";16;16;163
"2024";"09";"32089010";"10";"434";"RJ";"01";"0817800";1289;1284;7009
"2024";"01";"70099100";"10";"063";"SP";"07";"1017504";1;1;34
"2024";"03";"07020000";"10";"301";"SP";"01";"0812051";40;40;65
"2024";"01";"87089990";"10";"087";"SP";"04";"0817700";127;127;1625
"2024";"10";"02032200";"10";"580";"PA";"01";"0217800";25;25;105
"2024";"08";"19019090";"10";"607";"SC";"01";"0927700";4500;4500;8622
"2024";"05";"03049900";"10";"467";"ES";"01";"0727600";42;42;98
"2024";"08";"84842000";"10";"586";"SP";"15";"0917500";1;1;89
"2024";"09";"22029900";"17";"077";"SC";"01";"0927700";48;48;62
"2024";"01";"87085019";"11";"063";"RS";"07";"1017503";30;13680;120485
"2024";"04";"30024250";"10";"858";"RS";"04";"0817700";722;722;42258
"2024";"09";"87084090";"11";"249";"SC";"01";"0927700";2955;53722;147938
"2024";"03";"16010000";"10";"815";"SC";"01";"0927800";25872;25872;31641
"2024";"02";"55142300";"10";"589";"MG";"01";"0817800";11210;11210;92821
"2024";"01";"87084090";"11";"603";"SC";"04";"0817600";20;8;3053
"2024";"03";"20054000";"10";"351";"PR";"01";"0917800";3;3;20
"2024";"07";"33072090";"10";"158";"SP";"07";"1017503";110331;110331;404163
"2024";"07";"84842000";"10";"023";"SP";"01";"0817800";1;1;989
"2024";"01";"84244100";"11";"383";"SP";"01";"0817800";200;1124;9270
"2024";"06";"74153300";"10";"345";"SP";"01";"0817800";13;13;22100
"2024";"06";"16041410";"10";"083";"PR";"01";"0917800";48;48;132
"2024";"08";"85043400";"11";"097";"SC";"07";"0147600";1;4440;37480
"2024";"07";"39069049";"10";"586";"PR";"07";"0917500";5500;5500;28250
"2024";"08";"32071090";"10";"063";"SC";"04";"0817700";60;60;1322
"2024";"10";"83021000";"10";"063";"PR";"07";"1017500";0;0;17
"2024";"09";"39206291";"10";"063";"PR";"07";"1017500";22237;22237;58928
"2024";"07";"02064900";"10";"420";"RS";"01";"0927800";25344;25344;26493
"2024";"10";"10059010";"10";"476";"SP";"01";"0717600";5;5;10
"2024";"08";"33072010";"10";"434";"MA";"01";"0317903";2;2;31
"2024";"09";"87079090";"11";"845";"PR";"07";"1017701";1;368;9500
"2024";"09";"76161000";"10";"169";"SP";"00";"0810900";4;4;1818
"2024";"07";"85176256";"11";"158";"RS";"04";"0817700";13;9;270
"2024";"10";"84141000";"11";"493";"SC";"01";"0817800";520;9219;86010
"2024";"03";"32041700";"10";"249";"SP";"04";"0817700";20;20;200
"2024";"10";"90328982";"11";"196";"RS";"01";"0817800";2;1;260
"2024";"04";"39021010";"10";"160";"SP";"04";"0817600";75;75;122
"2024";"06";"21011110";"21";"289";"PR";"01";"0917800";35;34560;352132
"2024";"02";"33059000";"10";"017";"SP";"04";"0817600";215;215;4748
"2024";"10";"84099120";"11";"069";"SP";"04";"0817600";10;2;155
"2024";"06";"85122022";"11";"580";"SP";"01";"0817800";1;0;7
"2024";"06";"40103100";"10";"498";"SP";"01";"0817800";9;9;377
"2024";"09";"72029300";"10";"190";"GO";"01";"0817800";70000;70000;1874848
"2024";"06";"03049900";"10";"160";"AM";"01";"0227600";20;20;49
"2024";"01";"85163200";"11";"521";"PR";"04";"0817700";28;16;912
"2024";"08";"56074900";"10";"589";"RS";"04";"0817600";26;26;1118
"2024";"10";"07097000";"10";"580";"RS";"01";"1017700";5;5;5
"2024";"05";"96031000";"11";"476";"AL";"01";"0417902";30;11;153
"2024";"10";"29052290";"10";"063";"SP";"04";"0817700";1;1;116
"2024";"06";"69072100";"15";"239";"SC";"01";"0927502";2319;52842;20685
"2024";"08";"73181600";"10";"244";"SP";"01";"0817800";803;803;26401
"2024";"06";"07108000";"10";"293";"SP";"01";"0817800";5;5;16
"2024";"08";"64029990";"13";"053";"RS";"04";"0817700";16;18;384
"2024";"04";"94034000";"11";"580";"RS";"01";"1017700";714;17758;22954
"2024";"10";"07099300";"10";"434";"SP";"01";"0717600";5;5;6
"2024";"07";"85444200";"10";"160";"SC";"01";"0717800";95;95;5092
"2024";"09";"83023000";"10";"063";"SP";"04";"0817700";1;1;110
"2024";"09";"32030030";"10";"063";"SP";"04";"0817600";414;414;7174
"2024";"08";"87116000";"11";"580";"SP";"01";"0817800";2;57;1410
"2024";"05";"09102000";"10";"043";"AL";"01";"0520100";1;1;6
"2024";"09";"07039090";"10";"043";"RJ";"01";"0717600";8;8;60
"2024";"10";"59090000";"10";"069";"SP";"04";"0817700";40;40;3900
"2024";"03";"38249929";"10";"580";"SP";"01";"0517800";5;5;148
"2024";"10";"33049910";"10";"069";"SP";"04";"0817700";3;3;427
"2024";"07";"04022110";"10";"607";"ES";"01";"0710251";0;0;5
"2024";"01";"15079011";"21";"586";"MT";"07";"0917500";74;74002;76507
"2024";"10";"94055000";"10";"249";"SC";"04";"0817600";31;31;1635
"2024";"10";"39191010";"10";"467";"PA";"01";"0217800";12;12;30
"2024";"06";"85176259";"11";"097";"RJ";"07";"0147600";140;364;6720
"2024";"05";"84669200";"10";"097";"SC";"04";"0817600";1;1;325
"2024";"08";"04081900";"10";"301";"RJ";"01";"0717800";5249;5249;1979
"2024";"09";"03023200";"10";"190";"ES";"01";"0517800";15;15;62
"2024";"09";"90318099";"11";"023";"SC";"04";"0817600";9;3;2676
"2024";"01";"83040000";"10";"063";"PR";"07";"1017500";210;210;10350
"2024";"04";"23099010";"10";"827";"BA";"01";"0517800";108000;108000;36957
"2024";"06";"84368000";"11";"386";"PR";"04";"0817600";99;99;5581
"2024";"05";"02071220";"10";"080";"MS";"01";"0917800";76175;76175;129704
"2024";"05";"85363090";"11";"190";"SC";"04";"0817700";30;0;36
"2024";"06";"90262090";"11";"493";"RJ";"01";"0717600";357;21;5685
"2024";"01";"84663000";"10";"493";"SP";"01";"0817800";550;550;46905
"2024";"09";"29232000";"10";"190";"MG";"01";"0817800";140000;140000;145147
"2024";"02";"73269090";"10";"589";"RS";"01";"1017700";0;0;14
"2024";"05";"73151100";"10";"239";"SP";"04";"0817600";1120;1120;10457
"2024";"01";"68062000";"10";"586";"SP";"07";"0917500";26280;26280;5938
"2024";"02";"41044120";"15";"160";"RS";"01";"0927700";6179;25756;143393
"2024";"09";"33059000";"10";"275";"PI";"04";"0817700";73;73;1050
"2024";"09";"04022110";"10";"827";"AL";"01";"0417902";2;2;19
"2024";"09";"39100012";"10";"586";"SP";"07";"0917500";50;50;1310
"2024";"01";"85168090";"11";"493";"RS";"01";"1017700";20;784;400
"2024";"06";"33052000";"10";"069";"SP";"04";"0817600";3;3;0
"2024";"02";"03069500";"10";"741";"SP";"01";"0817800";60;60;485
"2024";"05";"84821010";"11";"628";"RJ";"04";"0817700";13;4;15164
"2024";"04";"33051000";"10";"756";"SP";"04";"0817600";600;600;3595
"2024";"10";"48183000";"10";"160";"SC";"01";"0927502";10;10;69
"2024";"08";"84842000";"10";"040";"SP";"01";"0817800";2;2;85
"2024";"09";"84099999";"10";"455";"SP";"04";"0817600";5;5;740
"2024";"09";"39211390";"10";"361";"SP";"01";"0817800";28;28;1310
"2024";"10";"85444200";"10";"628";"MG";"04";"0817600";1;1;169
"2024";"09";"18069000";"10";"301";"SP";"01";"0812051";16;16;204
"2024";"05";"08011100";"10";"476";"SP";"01";"0917800";32;32;58
"2024";"02";"08083000";"10";"163";"MA";"01";"0317903";36;36;140
"2024";"02";"84244900";"11";"153";"RS";"01";"1017700";2;25757;582485
"2024";"01";"32141010";"10";"770";"AP";"09";"0240151";6;6;102
"2024";"02";"84139190";"10";"756";"PR";"04";"0817700";0;0;13
"2024";"05";"02062200";"10";"163";"SP";"01";"0817800";55;55;100
"2024";"02";"84244100";"11";"239";"SP";"01";"0817800";3000;15900;146703
"2024";"02";"85044050";"11";"573";"MG";"04";"0817600";1;0;445
"2024";"05";"59112090";"10";"589";"SC";"04";"0817600";1532;1532;57202
"2024";"08";"03043100";"10";"476";"SP";"01";"0717800";230;230;614
"2024";"05";"84099117";"11";"158";"SC";"07";"1017500";13381;702;7870
"2024";"09";"39174090";"10";"493";"SP";"04";"0817600";2305;2305;44029
"2024";"09";"16023230";"10";"580";"RS";"01";"1017700";6;6;30
"2024";"06";"27101932";"10";"580";"RS";"01";"1017700";5491;5491;16631
"2024";"07";"16023210";"10";"741";"ES";"01";"0727600";9;9;55
"2024";"06";"61083100";"11";"845";"SC";"07";"1010252";636;176;3848
"2024";"04";"61124100";"11";"767";"SP";"04";"0817700";41;6;890
"2024";"07";"49111090";"10";"063";"SP";"01";"0817800";11;11;41
"2024";"09";"84832000";"11";"831";"RS";"04";"0817700";8;9;258
"2024";"07";"18061000";"10";"434";"SP";"01";"0817800";9;9;30
"2024";"07";"04090000";"10";"249";"MG";"01";"0717600";835466;834911;2220834
"2024";"02";"85432000";"11";"275";"MG";"04";"0817700";2;1;362
